item_code,item_description,product_description,supplier_reference,item_quantity,item_value,sales_order,sales_order_line,po_line,size,quantity,uom,price,price_per,ship_mode,source_page
2001431709,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416213/SEQ,"10,743.000",334.25,1001667234,10,140,S,663.000,PC,31.11,1000,Truck,2
2001431709,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416213/SEQ,"10,743.000",334.25,1001667234,10,140,XL,467.000,PC,31.11,1000,Truck,2
2001431709,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416213/SEQ,"10,743.000",334.25,1001667234,10,140,XS,261.000,PC,31.11,1000,Truck,2
2001431709,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416213/SEQ,"10,743.000",334.25,1001667234,10,140,XXL,252.000,PC,31.11,1000,Truck,2
2001431709,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416213/SEQ,"10,743.000",334.25,1001667260,10,130,L,800.000,PC,31.11,1000,Truck,2
2001431709,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416213/SEQ,"10,743.000",334.25,1001667260,10,130,M,987.000,PC,31.11,1000,Truck,2
2001431709,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416213/SEQ,"10,743.000",334.25,1001667260,10,130,S,663.000,PC,31.11,1000,Truck,2
2001431709,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416213/SEQ,"10,743.000",334.25,1001667260,10,130,XL,466.000,PC,31.11,1000,Truck,2
2001431709,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416213/SEQ,"10,743.000",334.25,1001667260,10,130,XS,260.000,PC,31.11,1000,Truck,2
2001431709,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416213/SEQ,"10,743.000",334.25,1001667260,10,130,XXL,251.000,PC,31.11,1000,Truck,2
2001431709,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416213/SEQ,"10,743.000",334.25,1001667399,10,160,L,404.000,PC,31.11,1000,Truck,3
2001431709,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416213/SEQ,"10,743.000",334.25,1001667399,10,160,M,"1,287.000",PC,31.11,1000,Truck,3
2001431709,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416213/SEQ,"10,743.000",334.25,1001667399,10,160,S,718.000,PC,31.11,1000,Truck,3
2001431709,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416213/SEQ,"10,743.000",334.25,1001667399,10,160,XL,428.000,PC,31.11,1000,Truck,3
2001431709,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416213/SEQ,"10,743.000",334.25,1001667399,10,160,XS,229.000,PC,31.11,1000,Truck,3
2001437812,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEB,"10,743.000",334.25,1001667108,10,110,L,126.000,PC,31.11,1000,Truck,3
2001437812,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEB,"10,743.000",334.25,1001667108,10,110,M,312.000,PC,31.11,1000,Truck,3
2001437812,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEB,"10,743.000",334.25,1001667108,10,110,S,235.000,PC,31.11,1000,Truck,3
2001437812,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEB,"10,743.000",334.25,1001667108,10,110,XL,57.000,PC,31.11,1000,Truck,3
2001437812,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEB,"10,743.000",334.25,1001667108,10,110,XS,89.000,PC,31.11,1000,Truck,3
2001437812,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEB,"10,743.000",334.25,1001667234,10,100,L,800.000,PC,31.11,1000,Truck,3
2001437812,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEB,"10,743.000",334.25,1001667234,10,100,M,988.000,PC,31.11,1000,Truck,3
2001437812,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEB,"10,743.000",334.25,1001667234,10,100,S,663.000,PC,31.11,1000,Truck,3
